run_accession	bam_ftp	base_count	broker_name	experiment_accession	experiment_alias	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_public	instrument_model	last_updated	library_layout	library_selection	library_source	nominal_length	nominal_sdev	bam_bytes	run_alias	sample_accession	sample_alias	sample_title	scientific_name	secondary_sample_accession	secondary_study_accession	sra_bytes	sra_ftp	sra_md5	study_accession	study_title	submission_accession	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_md5	tax_id
SRR8357673		1000617195		SRX5168776	382	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/003/SRR8357673/SRR8357673.fastq.gz	673517820	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8357673/SRR8357673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8357673/SRR8357673.fastq.gz	13a77a67cb4201a839cb23aa856be9d1	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7KCWACXX_l01n01_n_45_2.3510000003822b.fastq.gz	SAMN10618689	45min_root_N_Rep2	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176439	SRP174002	442684141	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/003/SRR8357673	7ee1be395c81f0736e04fa4277ae3e00	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357674		595891905		SRX5168775	387	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8357674/SRR8357674.fastq.gz	579676026	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357674/SRR8357674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357674/SRR8357674.fastq.gz	8715824ee3f8ce0a04dbfae107c6698f	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7D4YACXX l02n01 n_60_1.3410000000d8c9.fastq.gz	SAMN10618694	60min_root_N_Rep1	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176436	SRP174002	418668863	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/004/SRR8357674	1dc17f4e26b04c36a40a1c30395e8498	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357677		584047308		SRX5168772	386	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/007/SRR8357677/SRR8357677.fastq.gz	567383658	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8357677/SRR8357677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8357677/SRR8357677.fastq.gz	faa4a373eb06851beb076bae071fc5ec	2019-02-21	Illumina HiSeq 2500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				C7D4YACXX l02n01 k_60_3.3410000000d7a1.fastq.gz	SAMN10618693	60min_root_KCl_Rep3	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176434	SRP174002	408994515	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/007/SRR8357677	cabc8f4bf6f0a90add400d2321583ec4	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357679		881693784		SRX5168770	225	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/009/SRR8357679/SRR8357679.fastq.gz	508909639	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8357679/SRR8357679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/009/SRR8357679/SRR8357679.fastq.gz	43f1cb78d6211bc35fe31a05100839b2	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				H5GGKBGX2_n01_9w-57_dr.fastq.gz	SAMN10618532	9w-57	Plant sample from Oryza sativa Indica Group	Oryza sativa Indica Group	SRS4176433	SRP174002	341635670	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/009/SRR8357679	b2aeeacb4c660f4466ac9ba3d4609307	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39946
SRR8357682		1149913275		SRX5168767	222	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/002/SRR8357682/SRR8357682.fastq.gz	724785540	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357682/SRR8357682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357682/SRR8357682.fastq.gz	e76b69a52aacb7827c7cdc898dffbbe8	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				H5HVHBGX2_n01_9w-54_dr.fastq.gz	SAMN10618529	9w-54	Plant sample from Oryza sativa Japonica Group	Oryza sativa Japonica Group	SRS4176430	SRP174002	504501280	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/002/SRR8357682	f5f3a3188079418372cc00ba36af2620	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39947
SRR8357684		961245675		SRX5168765	224	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8357684/SRR8357684.fastq.gz	535899361	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357684/SRR8357684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357684/SRR8357684.fastq.gz	b1f9372030bd47e5b789380e4e41fa57	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HFNNGBGX2_n01_9w-56.fastq.gz	SAMN10618531	9w-56	Plant sample from Oryza sativa	Oryza sativa	SRS4176428	SRP174002	367732229	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/004/SRR8357684	8d31654f8cc3d1aa8aba4ec898054bab	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357687		1455630075		SRX5168762	146	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/007/SRR8357687/SRR8357687.fastq.gz	834933893	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8357687/SRR8357687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/007/SRR8357687/SRR8357687.fastq.gz	2f5c7f0f930ba3027ee3ad95c46c7c69	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HGV7YBGX2_n01_9s-33_dr.fastq.gz	SAMN10618453	9s-33	Plant sample from Oryza sativa	Oryza sativa	SRS4176425	SRP174002	589019509	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/007/SRR8357687	7f65dfb8f0723686aa2fa2816e8e459e	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357692		1292811525		SRX5168757	143	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/002/SRR8357692/SRR8357692.fastq.gz	720855199	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357692/SRR8357692.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/002/SRR8357692/SRR8357692.fastq.gz	1c1b0767704b9afa45c3e486ad9b8c4c	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HYMN3BGXY_n01_9s-30.fastq.gz	SAMN10618450	9s-30	Plant sample from Oryza sativa	Oryza sativa	SRS4176420	SRP174002	502691596	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/002/SRR8357692	924f049701b2ce239316f42bddd3fe71	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
SRR8357693		837286575		SRX5168756	144	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/003/SRR8357693/SRR8357693.fastq.gz	466056335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8357693/SRR8357693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/003/SRR8357693/SRR8357693.fastq.gz	33183acef0d8f3709ce3e9c9036b2688	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HFJJCBGX2_n01_9s-31.fastq.gz	SAMN10618451	9s-31	Plant sample from Oryza sativa Indica Group	Oryza sativa Indica Group	SRS4176419	SRP174002	318178595	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/003/SRR8357693	d8732c473c5dbfc1eb8b14c495c4d04d	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						39946
SRR8357694		1237138725		SRX5168755	149	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR835/004/SRR8357694/SRR8357694.fastq.gz	665813808	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357694/SRR8357694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR835/004/SRR8357694/SRR8357694.fastq.gz	3e8f493a2567cb1540c68b2c2ddd7c6a	2019-02-21	NextSeq 500	2019-02-21	SINGLE	PolyA	TRANSCRIPTOMIC				HGVJGBGX2_n01_9s-36_dr.fastq.gz	SAMN10618456	9s-36	Plant sample from Oryza sativa	Oryza sativa	SRS4176418	SRP174002	487172110	ftp.sra.ebi.ac.uk/vol1/srr/SRR835/004/SRR8357694	80340651060cc64894066d371e92598c	PRJNA510920	Water impacts nutrient dose responses genome-wide to affect crop production	SRA825332						4530
