gene,chr,start,end,strand,attributes
534M_042.1,534M_042,9208,9486,+,"{'ID': '534M_042.1', 'Name': '534M_042.1'}"
534M_042.2,534M_042,33865,36975,+,"{'ID': '534M_042.2', 'Name': '534M_042.2'}"
534M_042.3,534M_042,57347,58144,+,"{'ID': '534M_042.3', 'Name': '534M_042.3'}"
534M_042.4,534M_042,114074,114424,-,"{'ID': '534M_042.4', 'Name': '534M_042.4'}"
534M_042.5,534M_042,117691,118542,-,"{'ID': '534M_042.5', 'Name': '534M_042.5'}"
534M_042.6,534M_042,127415,129786,-,"{'ID': '534M_042.6', 'Name': '534M_042.6'}"
534M_042.7,534M_042,134674,134916,+,"{'ID': '534M_042.7', 'Name': '534M_042.7'}"
534M_043.1,534M_043,13838,14257,-,"{'ID': '534M_043.1', 'Name': '534M_043.1'}"
534M_043.4,534M_043,23007,23422,-,"{'ID': '534M_043.4', 'Name': '534M_043.4'}"
534M_043.3,534M_043,31100,31515,-,"{'ID': '534M_043.3', 'Name': '534M_043.3'}"
534M_043.2,534M_043,39762,40177,-,"{'ID': '534M_043.2', 'Name': '534M_043.2'}"
534M_043.8,534M_043,51182,51373,-,"{'ID': '534M_043.8', 'Name': '534M_043.8'}"
534M_043.7,534M_043,69031,69222,-,"{'ID': '534M_043.7', 'Name': '534M_043.7'}"
534M_043.6,534M_043,104723,104914,-,"{'ID': '534M_043.6', 'Name': '534M_043.6'}"
534M_043.5,534M_043,112680,112860,-,"{'ID': '534M_043.5', 'Name': '534M_043.5'}"
534M_043.9,534M_043,121831,122037,-,"{'ID': '534M_043.9', 'Name': '534M_043.9'}"
534M_045.7,534M_045,2041,2205,+,"{'ID': '534M_045.7', 'Name': '534M_045.7'}"
534M_045.6,534M_045,12721,13136,-,"{'ID': '534M_045.6', 'Name': '534M_045.6'}"
534M_045.5,534M_045,21883,22298,-,"{'ID': '534M_045.5', 'Name': '534M_045.5'}"
534M_045.4,534M_045,30544,30959,-,"{'ID': '534M_045.4', 'Name': '534M_045.4'}"
